feature,omics_group
pp_E.Cadherin,Protein
rs_CIDEA,mRNA
mu_CDH1,Methylation
rs_FXYD1,mRNA
pp_beta.Catenin,Protein
pp_Myosin.IIa.pS1943,Protein
pp_AR,Protein
rs_LOC389033,mRNA
rs_AQP7,mRNA
cn_PGLYRP2,CNV
rs_HPX,mRNA
rs_SOX10,mRNA
pp_eEF2,Protein
rs_CD300LG,mRNA
pp_YB.1,Protein
rs_CCL19,mRNA
rs_ACADL,mRNA
rs_TMPRSS3,mRNA
rs_PTPRT,mRNA
pp_TFRC,Protein
pp_X4E.BP1,Protein
rs_DEGS2,mRNA
rs_VIPR2,mRNA
rs_TNNT3,mRNA
rs_HMGCS2,mRNA
rs_CASP14,mRNA
rs_ANKRD43,mRNA
rs_ADAMTS15,mRNA
cn_PKD1L2,CNV
pp_p53,Protein
rs_LOC100271831,mRNA
rs_A2ML1,mRNA
rs_ELOVL2,mRNA
rs_ADH1C,mRNA
pp_p62.LCK.ligand,Protein
rs_TUSC5,mRNA
rs_RERGL,mRNA
rs_TFF3,mRNA
pp_S6,Protein
rs_NEK10,mRNA
rs_WNK4,mRNA
rs_ABCC8,mRNA
pp_ACVRL1,Protein
pp_Cyclin.B1,Protein
pp_FASN,Protein
pp_p70S6K,Protein
rs_TPSG1,mRNA
rs_TFAP2B,mRNA
rs_ROPN1,mRNA
pp_X4E.BP1.pT70,Protein
pp_Dvl3,Protein
pp_PKC.alpha,Protein
rs_MMP1,mRNA
rs_HS6ST3,mRNA
rs_PLCH1,mRNA
pp_LKB1,Protein
rs_VGLL1,mRNA
rs_LRRC31,mRNA
rs_ATP1A2,mRNA
rs_SCUBE2,mRNA
rs_SLC6A4,mRNA
pp_SLC1A5,Protein
pp_Bcl2A1,Protein
rs_MMP12,mRNA
rs_CAPN8,mRNA
rs_AGR2,mRNA
pp_PI3K.p85,Protein
rs_CADM3,mRNA
mu_MUC4,Methylation
pp_eIF4G,Protein
rs_F7,mRNA
pp_MSH2,Protein
rs_ALDH1L1,mRNA
rs_CST2,mRNA
rs_LOC283392,mRNA
